id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
74,Dogecoin,DOGE,dogecoin,942,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143756206383.7052,143756206383.7052,True,,8,,,,2024-04-05T04:43:00.000Z,0.17417345722105249,2053601207.0935953,-20.412,-1.51189265,0.02917767,-19.21884431,13.79375901,122.86006187,112.27454146,25038515462.83307,0.9937,25038515462.83,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
2010,Cardano,ADA,cardano,1122,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35597249495.042,36771024607.588,False,,9,,,,2024-04-05T04:42:00.000Z,0.5735084820242139,471722280.5767865,3.0596,-0.38838222,1.55109321,-11.84789522,-15.95653025,15.361748,7.63074025,20415324522.138752,0.8102,25807881691.09,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
11419,Toncoin,TON,toncoin,246,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470534448.9819,5104957715.352165,True,,10,3414166606.0,17573626630.633648,,2024-04-05T04:42:00.000Z,5.147266861479474,154731097.17177537,16.897,-1.01280075,4.18193466,5.14415987,98.03863716,150.39723656,145.33349187,17863766960.86746,0.709,26276579677.49,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
5805,Avalanche,AVAX,avalanche,700,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377838377.9504299,436528017.9504299,False,,11,,,,2024-04-05T04:42:00.000Z,45.50269032466402,424055488.5520605,-19.7311,-0.63883209,-0.91008503,-16.37008493,16.7112868,30.09739605,27.90222194,17192662704.651775,0.6823,32568492310.93,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
5994,Shiba Inu,SHIB,shiba-inu,785,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-05T04:42:00.000Z,2.6871700418193453e-05,667682528.7545217,1.7419,-0.92672739,2.68307277,-13.84544669,-18.26300514,200.91987215,176.07998503,15835208506.972363,0.6285,15841783358.51,,2024-04-05T04:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-05 04:43:56.412809+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,869,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19687684.375,19687684.375,False,,13,,,,2024-04-05T04:42:00.000Z,708.6925284155491,2376946154.5912366,86.3724,1.91729762,13.84779416,23.24685788,79.34009303,200.60951379,193.91743101,13952514818.366049,0.5537,14882543096.73,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
6636,Polkadot,DOT,polkadot-new,726,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1430042292.62819,1430042292.62819,True,,14,,,,2024-04-05T04:43:00.000Z,8.336465653377909,231135090.12167048,-5.4755,-0.74507817,0.1814479,-11.89208962,-9.84891821,21.9702092,14.17565098,11921498455.372707,0.4731,11921498455.37,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
1958,TRON,TRX,tron,962,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87700946066.86624,87700958677.71301,True,,15,71659659264.0,8521175625.189856,,2024-04-05T04:42:00.000Z,0.1189117519216377,278758456.09413904,-10.2495,-0.16314286,1.55683987,-1.38535225,-12.68262843,-0.49438408,14.73597943,10428673141.996126,0.4139,10428674641.57,,2024-04-05T04:42:00.000Z,,,,,,2024-04-05 04:43:56.412809+00:00
1,Bitcoin,BTC,bitcoin,10951,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19673506.0,19673506.0,False,,1,,,,2024-04-05T04:44:00.000Z,67634.66979923376,34924291137.39716,10.8383,-0.28093778,3.45545853,-4.05506346,6.17251318,58.28548661,53.89008778,1330611082103.2441,52.8079,1420328065783.91,,2024-04-05T04:44:00.000Z,,,,,,2024-04-05 04:44:56.869211+00:00
1027,Ethereum,ETH,ethereum,8723,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120139718.91617976,120139718.91617976,True,,2,,,,2024-04-05T04:43:00.000Z,3284.880746316767,14541729691.209612,-2.3339,-0.39628645,0.04725559,-8.18147582,-8.08863841,43.26072672,45.79313906,394644649535.6672,15.6622,394644649535.67,,2024-04-05T04:43:00.000Z,,,,,,2024-04-05 04:44:56.869211+00:00
